"choice";"season";"2012";"Scenario I";"Scenario II";"Scenario III";"Scenario IV";"Model validation"
"1";"VIOTB";"1";25;190.111111111111;0;0;330.4;60.84
"2";"VIOTB";"2";282;380.9;752.05;746.2;221.262626262626;454.4
"3";"VIOTB";"3";36;104.262626262626;111.02;114.242424242424;79.8958333333333;58.08
"4";"VIOTB";"4";12;141.275510204082;326.04;343.2;281.19;21.7297297297297
"5";"VIIOTB";"1";0;133.191919191919;0;0;229.14;0
"6";"VIIOTB";"2";0;151.919191919192;0;0;151.551020408163;0
"7";"VIIOTB";"3";0;135.52;0;0;108.463157894737;0
"8";"VIIOTB";"4";0;61.7204301075269;0;0;30.1538461538462;0
"9";"VIIIabdOTB";"1";532;240.30303030303;0;0;0;454.3
"10";"VIIIabdOTB";"2";240;164.903225806452;0;0;0;188.571428571429
"11";"VIIIabdOTB";"3";84;54.1720430107527;0;0;62.6153846153846;86.8
"12";"VIIIabdOTB";"4";528;404.84;0;0;0;722.04
"13";"VIIIabdPTB";"1";549;270.94;0;0;0;185.712765957447
"14";"VIIIabdPTB";"2";300;177.397959183673;0;0;329.4;174.04
"15";"VIIIabdPTB";"3";350;150.30303030303;282;280.4;127.835051546392;217.795918367347
"16";"VIIIabdPTB";"4";400;152.244444444444;0;0;143.022727272727;160.2
